# Athena++ history data
# [1]=time     [2]=dt       [3]=mass     [4]=1-mom    [5]=2-mom    [6]=3-mom    [7]=1-KE     [8]=2-KE     [9]=3-KE     [10]=tot-E   
  7.50006e+01  6.95689e-04  1.46304e-02 -4.75223e-05  1.90642e-02  0.00000e+00  4.28571e-04  1.57371e-02  0.00000e+00  2.00272e-02
  7.55003e+01  6.99915e-04  1.43596e-02 -3.50510e-04  1.86308e-02  0.00000e+00  3.65462e-04  1.52672e-02  0.00000e+00  1.94090e-02
  7.60000e+01  6.92826e-04  1.41230e-02 -5.28461e-05  1.84446e-02  0.00000e+00  3.75848e-04  1.52336e-02  0.00000e+00  1.92424e-02
  7.65002e+01  7.26096e-04  1.36752e-02 -2.29404e-04  1.79198e-02  0.00000e+00  4.16471e-04  1.48629e-02  0.00000e+00  1.87933e-02
  7.70004e+01  6.92300e-04  1.33098e-02 -3.19263e-04  1.75439e-02  0.00000e+00  3.66523e-04  1.46783e-02  0.00000e+00  1.84588e-02
  7.75001e+01  6.74277e-04  1.29705e-02 -3.59593e-04  1.69587e-02  0.00000e+00  2.99723e-04  1.39464e-02  0.00000e+00  1.76027e-02
  7.80002e+01  6.77532e-04  1.26947e-02 -1.17220e-04  1.66638e-02  0.00000e+00  3.92155e-04  1.37743e-02  0.00000e+00  1.74038e-02
  7.85004e+01  7.09504e-04  1.25089e-02 -4.14102e-04  1.65979e-02  0.00000e+00  4.32380e-04  1.39275e-02  0.00000e+00  1.75111e-02
  7.90001e+01  6.90550e-04  1.21791e-02 -3.36978e-04  1.60128e-02  0.00000e+00  2.99622e-04  1.32651e-02  0.00000e+00  1.66515e-02
  7.95001e+01  6.62960e-04  1.19409e-02 -3.57307e-04  1.58624e-02  0.00000e+00  3.28956e-04  1.32380e-02  0.00000e+00  1.65622e-02
  8.00002e+01  7.16725e-04  1.16102e-02 -3.03144e-04  1.55168e-02  0.00000e+00  4.38574e-04  1.30237e-02  0.00000e+00  1.63669e-02
  8.05001e+01  6.90912e-04  1.13806e-02 -5.17532e-04  1.51601e-02  0.00000e+00  3.47467e-04  1.26378e-02  0.00000e+00  1.58472e-02
  8.10007e+01  6.79964e-04  1.11649e-02 -2.15512e-04  1.48593e-02  0.00000e+00  2.96542e-04  1.24238e-02  0.00000e+00  1.55190e-02
  8.15004e+01  7.26020e-04  1.09005e-02 -3.14847e-04  1.45301e-02  0.00000e+00  3.71497e-04  1.21459e-02  0.00000e+00  1.51994e-02
  8.20005e+01  6.87388e-04  1.06774e-02 -5.14534e-04  1.44087e-02  0.00000e+00  3.79733e-04  1.21719e-02  0.00000e+00  1.51932e-02
